id,timestamp,temperature,humidity,distance,state
202,2025-11-01 15:08:37,26.9,44.0,196.0,Standby 
203,2025-11-01 15:08:39,26.9,,196.0,OFF 
204,2025-11-01 15:08:41,26.9,43.0,196.0,OFF 
205,2025-11-01 15:08:43,26.8,43.0,196.0,OFF 
206,2025-11-01 15:08:45,26.8,43.0,196.0,OFF 
207,2025-11-01 15:08:47,26.8,42.0,196.0,OFF 
208,2025-11-01 15:08:49,26.7,42.0,196.0,OFF 
209,2025-11-01 15:08:51,26.7,42.0,196.0,OFF 
210,2025-11-01 15:08:53,26.6,41.0,196.0,OFF 
211,2025-11-01 15:08:55,26.6,41.0,196.0,OFF 
212,2025-11-01 15:08:57,26.6,41.0,196.0,Standby 
213,2025-11-01 15:08:59,26.6,,36.0,Alarm!!! 
214,2025-11-01 15:09:01,26.6,40.0,22.0,Alarm!!! 
215,2025-11-01 15:09:03,26.6,40.0,191.0,Standby 
216,2025-11-01 15:09:05,26.5,40.0,191.0,OFF 
217,2025-11-01 15:09:07,26.5,40.0,191.0,OFF 
218,2025-11-01 15:09:09,26.5,40.0,191.0,OFF 
219,2025-11-01 15:09:11,26.5,40.0,191.0,OFF 
220,2025-11-01 15:09:13,26.5,40.0,191.0,OFF 
221,2025-11-01 15:09:15,26.4,39.0,191.0,OFF 
222,2025-11-01 15:09:17,26.4,39.0,191.0,OFF 
223,2025-11-01 15:09:19,26.4,39.0,191.0,OFF 
224,2025-11-01 15:09:21,26.4,39.0,191.0,OFF 
225,2025-11-01 15:09:23,26.4,38.0,191.0,OFF 
226,2025-11-01 15:09:25,26.3,38.0,191.0,OFF 
